DayIndex,Date,Hour,Team,Minimo,Capacity,LB_slot
16,2021-11-16,15-16,B,2,19,0
16,2021-11-16,16-17,A,2,19,0
16,2021-11-16,16-17,B,1,19,0
16,2021-11-16,17-18,A,3,19,0
16,2021-11-16,17-18,B,3,19,0
16,2021-11-16,18-19,A,4,19,0
16,2021-11-16,18-19,B,3,19,0
16,2021-11-16,19-20,A,4,19,0
16,2021-11-16,19-20,B,3,19,0
16,2021-11-16,20-21,A,4,19,0
16,2021-11-16,20-21,B,4,19,0
16,2021-11-16,21-22,A,2,19,0
16,2021-11-16,21-22,B,2,19,0
17,2021-11-17,09-10,A,3,19,0
17,2021-11-17,09-10,B,2,19,0
17,2021-11-17,10-11,A,3,19,0
17,2021-11-17,10-11,B,2,19,0
17,2021-11-17,11-12,A,4,19,0
17,2021-11-17,11-12,B,3,19,0
17,2021-11-17,12-13,A,4,19,0
17,2021-11-17,12-13,B,4,19,0
17,2021-11-17,13-14,A,4,19,0
17,2021-11-17,13-14,B,4,19,0
17,2021-11-17,14-15,A,4,19,0
17,2021-11-17,14-15,B,4,19,0
17,2021-11-17,15-16,A,3,19,0
17,2021-11-17,15-16,B,1,19,0
17,2021-11-17,16-17,A,2,19,0
17,2021-11-17,16-17,B,2,19,0
17,2021-11-17,17-18,A,2,19,0
17,2021-11-17,17-18,B,2,19,0
17,2021-11-17,18-19,A,4,19,0
17,2021-11-17,18-19,B,3,19,0
17,2021-11-17,19-20,A,4,19,0
17,2021-11-17,19-20,B,3,19,0
17,2021-11-17,20-21,A,4,19,0
17,2021-11-17,20-21,B,2,19,0
17,2021-11-17,21-22,A,3,19,0
17,2021-11-17,21-22,B,1,19,0
18,2021-11-18,09-10,A,3,19,0
18,2021-11-18,09-10,B,2,19,0
18,2021-11-18,10-11,A,4,19,0
18,2021-11-18,10-11,B,3,19,0
18,2021-11-18,11-12,A,4,19,0
18,2021-11-18,11-12,B,3,19,0
18,2021-11-18,12-13,A,4,19,0
18,2021-11-18,12-13,B,4,19,0
18,2021-11-18,13-14,A,4,19,0
18,2021-11-18,13-14,B,4,19,0
18,2021-11-18,14-15,A,4,19,0
18,2021-11-18,14-15,B,4,19,0
18,2021-11-18,15-16,A,3,19,0
18,2021-11-18,15-16,B,2,19,0
18,2021-11-18,16-17,A,2,19,0
18,2021-11-18,16-17,B,2,19,0
18,2021-11-18,17-18,A,3,19,0
18,2021-11-18,17-18,B,2,19,0
18,2021-11-18,18-19,A,4,19,0
18,2021-11-18,18-19,B,3,19,0
18,2021-11-18,19-20,A,4,19,0
18,2021-11-18,19-20,B,3,19,0
18,2021-11-18,20-21,A,4,19,0
18,2021-11-18,20-21,B,2,19,0
18,2021-11-18,21-22,A,3,19,0
18,2021-11-18,21-22,B,2,19,0
19,2021-11-19,09-10,A,4,19,0
19,2021-11-19,09-10,B,2,19,0
19,2021-11-19,10-11,A,4,19,0
19,2021-11-19,10-11,B,3,19,0
19,2021-11-19,11-12,A,4,19,0
19,2021-11-19,11-12,B,4,19,0
19,2021-11-19,12-13,A,4,19,0
19,2021-11-19,12-13,B,4,19,0
19,2021-11-19,13-14,A,4,19,0
19,2021-11-19,13-14,B,4,19,0
19,2021-11-19,14-15,A,4,19,0
19,2021-11-19,14-15,B,4,19,0
19,2021-11-19,15-16,A,3,19,0
19,2021-11-19,15-16,B,3,19,0
19,2021-11-19,16-17,A,3,19,0
19,2021-11-19,16-17,B,3,19,0
19,2021-11-19,17-18,A,3,19,0
19,2021-11-19,17-18,B,4,19,0
19,2021-11-19,18-19,A,4,19,0
19,2021-11-19,18-19,B,4,19,0
19,2021-11-19,19-20,A,4,19,0
19,2021-11-19,19-20,B,4,19,0
19,2021-11-19,20-21,A,4,19,0
19,2021-11-19,20-21,B,3,19,0
19,2021-11-19,21-22,A,4,19,0
19,2021-11-19,21-22,B,2,19,0
20,2021-11-20,09-10,A,3,19,0
20,2021-11-20,09-10,B,2,19,0
20,2021-11-20,10-11,A,4,19,0
20,2021-11-20,10-11,B,4,19,0
20,2021-11-20,11-12,A,4,19,0
20,2021-11-20,11-12,B,4,19,0
20,2021-11-20,12-13,A,4,19,0
20,2021-11-20,12-13,B,4,19,0
20,2021-11-20,13-14,A,4,19,0
20,2021-11-20,13-14,B,4,19,0
20,2021-11-20,14-15,A,4,19,0
20,2021-11-20,14-15,B,4,19,0
20,2021-11-20,15-16,A,4,19,0
20,2021-11-20,15-16,B,2,19,0
20,2021-11-20,16-17,A,3,19,0
20,2021-11-20,16-17,B,2,19,0
20,2021-11-20,17-18,A,3,19,0
20,2021-11-20,17-18,B,3,19,0
20,2021-11-20,18-19,A,4,19,0
20,2021-11-20,18-19,B,4,19,0
20,2021-11-20,19-20,A,4,19,0
20,2021-11-20,19-20,B,4,19,0
20,2021-11-20,20-21,A,4,19,0
20,2021-11-20,20-21,B,3,19,0
20,2021-11-20,21-22,A,3,19,0
20,2021-11-20,21-22,B,2,19,0
21,2021-11-21,09-10,A,-1,0,0
21,2021-11-21,09-10,B,-1,0,0
21,2021-11-21,10-11,A,-1,0,0
21,2021-11-21,10-11,B,-1,0,0
21,2021-11-21,11-12,A,-1,0,0
21,2021-11-21,11-12,B,-1,0,0
